아이디,이름,나이(월),품종,성별,색상1,색상2,색상3,크기,털길이,예방접종,구충여부,중성화,지역,건강 상태,사회도,친화도,활동성,상세설명
8b693ca84,행성,2,믹스견,수컷,검정,갈색,흰색,중형,단모,미완료,완료,미완료,서울,3,3,5,4,세상에서 가장 야무진 행성이를 소개합니다. 검정 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
deff069a2,사자,12,믹스견,수컷,검정,없음,없음,중형,단모,미완료,미완료,미완료,서울,5,4,5,4,"이 구역의 최고 귀염둥이 사자! 검정 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
8ce183889,줄기,4,믹스견,수컷,크림색,없음,없음,대형,중모,미완료,미완료,미완료,세종,3,5,4,3,간식을 기다릴 때 가장 진지한 줄기이에요. 크림색 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
e8d0907ae,탱구,48,시츄,암컷,갈색,크림색,없음,중형,중모,완료,완료,미완료,강원,4,5,5,4,"반짝이는 눈망울을 가진 탱구. 갈색 색상의 시츄 아이로, 아주 영리하고 배우는 게 빠릅니다."
1e62e6022,매끈,2,래브라도 리트리버,수컷,검정,갈색,흰색,소형,단모,완료,불확실,미완료,강원,3,3,3,5,간식을 기다릴 때 가장 진지한 매끈이에요. 검정 털의 귀여운 래브라도 리트리버으로 호기심이 아주 많답니다.
259b10a3e,보들,2,믹스견,암컷,갈색,크림색,없음,중형,단모,미완료,완료,미완료,경기,4,4,4,3,통통 튀는 걸음걸이가 매력적인 보들! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
35593da00,크림,2,믹스견,수컷,갈색,없음,없음,중형,중모,완료,완료,미완료,제주,4,4,3,4,크림은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
c30dd6e9a,토성,3,실키 테리어,수컷,검정,갈색,없음,소형,장모,완료,완료,불확실,서울,4,5,5,3,"차분하고 순한 성격의 토성입니다. 검정 색상의 Silky Terrier 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
46d88ca3e,황구,36,골든 리트리버,암컷,갈색,금색,노란색,대형,중모,완료,완료,미완료,전북,4,4,5,3,표정은 세상 진지한 황구! 갈색 털이 매력적인 골든 리트리버 친구예요. 호기심도 많고 아주 씩씩하답니다.
6f0cb510a,망고,3,믹스견,수컷,갈색,없음,없음,중형,중모,완료,완료,미완료,경남,5,3,3,4,"차분하고 순한 성격의 망고입니다. 갈색 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
d7f938acd,망치,2,믹스견,암컷,갈색,없음,없음,중형,단모,완료,완료,미완료,경기,3,5,5,3,망치은(는) 정말 사랑스러운 믹스견 친구예요. 갈색 털이 매력 포인트이며 누구와도 잘 지내요.
0b0f596b5,번쩍,2,믹스견,수컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,경기,4,3,4,5,"사람을 정말 좋아하는 번쩍이에요. 검정 코트가 멋진 믹스견으로, 순하고 맑은 눈망울을 가졌어요."
52e555a3a,탄이,1,믹스견,암컷,갈색,없음,없음,중형,장모,미완료,미완료,미완료,전남,5,5,5,4,"반짝이는 눈망울을 가진 탄이. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
1eb8a0278,룽지,16,시츄,암컷,크림색,흰색,없음,소형,단모,완료,완료,불확실,전북,3,5,5,3,처음엔 쑥스러워하지만 금방 친해지는 룽지! 크림색 털의 소중한 시츄 천사를 만나보세요.
207d61997,루피,7,시츄,수컷,갈색,없음,없음,중형,단모,완료,완료,불확실,인천,4,5,5,3,세상에서 가장 야무진 루피이를 소개합니다. 갈색 색상의 시츄이며 주사도 씩씩하게 잘 맞는 천사예요.
b243b8e93,초롱,2,믹스견,암컷,노란색,크림색,흰색,중형,단모,미완료,완료,미완료,경남,4,4,3,3,"반짝이는 눈망울을 가진 초롱. 노란색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
039509c40,몽글,1,믹스견,암컷,검정,없음,없음,중형,중모,미완료,완료,미완료,경기,4,3,3,4,애교가 철철 넘치는 몽글! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
