품종명,에너지_레벨,훈련_용이성,보호_본능,털_빠짐,짖음_빈도,장난기,그루밍_필요성,침_흘림,털_길이,타견_친화력,낯선사람_친화력,최소_수명,최대_수명,최소_체고_수컷,최대_체고_수컷,최소_체고_암컷,최대_체고_암컷,최소_체중_수컷,최대_체중_수컷,최소_체중_암컷,최대_체중_암컷,기대_수명,설명,기질,색상,크기_분류,견종_그룹,역할,털_유형,아이_친화력,아파트_적합성,초보_적합성,사냥_본능,운동량,더위_내성,추위_내성
래브라도 리트리버,5,5,3,4,3,5,2,2,2,5,4,10,12,22.5,24.5,21.5,23.5,65.0,80.0,55.0,70.0,3,물 속에서 회수할 수 있도록 사육된 친근한 사냥개; 운동 능력이 뛰어나고 사람 중심적이며 기쁘게 하려고 노력합니다.,"외향적, 열성적, 입찰 가능, 온화함","검정색, 노란색, 초콜릿",대형,조렵견,리트리버,"이중, 짧은",5.0,3.0,5.0,3.0,5.0,3.0,4.0
골든 리트리버,5,5,2,5,3,5,3,2,4,5,5,10,12,23.0,24.0,21.5,22.5,65.0,75.0,55.0,65.0,3,태평한 성격과 일하려는 강한 의지를 지닌 입이 부드러운 리트리버. 교제와 활동을 통해 성장합니다.,"다정한, 신뢰할 수 있는, 열정적인, 사교적인",황금빛 음영,대형,조렵견,리트리버,"이중, 깃털",5.0,3.0,5.0,3.0,5.0,3.0,4.0
저먼 셰퍼드,5,5,5,5,3,4,3,2,3,3,3,9,13,24.0,26.0,22.0,24.0,65.0,90.0,50.0,70.0,3,지능과 용기로 유명한 다재다능한 목양견이자 보호견입니다. 꾸준한 훈련으로 업무에 탁월하다.,"자신감 있고, 충성스럽고, 주의가 깊고, 근면합니다.","블랙 앤 황갈색, 세이블, 블랙, 바이컬러",대형,목양견,방목과 유틸리티,"더블, 미디엄",4.0,2.0,2.0,4.0,5.0,3.0,4.0
프렌치 불독,2,3,2,2,2,3,2,3,1,4,4,10,12,11.0,13.0,11.0,13.0,22.0,28.0,18.0,26.0,3,도시 생활을 위해 태어난 컴팩트한 동반자; 장난스럽고 다정하며 차분하고 광대한 성격을 가지고 있습니다.,"적응력이 좋고, 매력적이며, 차분하다","새끼 사슴, 얼룩, 얼룩덜룩한, 크림",소형,비조렵견,동반자,"매끄럽다, 짧다",4.0,5.0,4.0,1.0,2.0,1.0,2.0
푸들,4,5,3,1,3,4,5,1,3,4,4,12,15,22.0,27.0,22.0,27.0,60.0,70.0,45.0,60.0,4,저자극성 코트를 갖춘 지능적인 워터 리트리버; 훈련과 다양한 개 조렵견에 탁월합니다.,밝고 열정적이며 운동 능력이 뛰어나고 사람 중심적입니다.,"블랙, 화이트, 살구, 그레이, 브라운",대형,비조렵견,워터독과 동반자,"곱슬머리, 싱글",4.0,3.0,4.0,2.0,4.0,3.0,3.0
잉글리시 불독,2,2,3,2,2,3,2,5,1,3,4,8,10,14.0,15.0,14.0,15.0,50.0,55.0,40.0,50.0,2,용기와 평온함을 위해 자란 튼튼한 동반자; 짧은 산책과 가족과의 긴밀한 접촉을 선호합니다.,"침착하고, 용감하고, 다정하고, 꾸준함","얼룩, 엷은 황갈색, 흰색, 얼룩무늬, 빨간색",중형,비조렵견,동반자,"매끄럽다, 짧다",4.0,5.0,4.0,1.0,2.0,1.0,2.0
비글,4,3,2,3,5,4,2,1,2,5,4,12,15,14.0,16.0,13.0,15.0,22.0,30.0,20.0,28.0,4,지구력과 냄새 작업을 위해 제작된 작은 무리 사냥개; 명랑하고 사교적이며 음식에 관심이 많습니다.,"쾌활한, 호기심이 많은, 상냥한, 결단력 있는","삼색, 레몬과 흰색, 빨간색과 흰색, 갈색과 흰색",소형,하운드,향기 사냥개,"매끄럽다, 짧다",5.0,3.0,4.0,5.0,4.0,4.0,3.0
로트와일러,4,4,5,3,2,3,2,3,2,3,2,9,10,24.0,27.0,22.0,25.0,95.0,135.0,80.0,100.0,2,강력한 운전 및 보호자 품종; 가족에게 충실하며 명확한 리더십과 일을 통해 성장합니다.,"자신감 있고, 경계심이 많으며, 침착하고, 용기가 있습니다.","블랙과 마호가니, 블랙과 황갈색",대형,작업견,보호자와 운전사,"이중, 짧은",4.0,2.0,2.0,3.0,4.0,3.0,4.0
닥스훈트,3,3,3,2,5,4,2,1,3,3,3,12,16,8.0,9.0,8.0,9.0,16.0,32.0,16.0,30.0,4,"오소리 사냥용으로 개발된 저층형 후각 사냥개; 용감하고, 장난스럽고, 윤곽이 뚜렷합니다.","활기차고, 영리하고, 대담하고, 때로는 완고함","빨간색, 검정색 및 황갈색, 초콜릿 및 황갈색, 크림색, 대플 패턴",소형,하운드,향기 사냥개와 땅개,매끄럽고/긴/와이어,3.0,4.0,3.0,4.0,3.0,3.0,2.0
코기,4,4,3,5,4,4,2,1,3,4,4,12,13,10.0,12.0,10.0,11.0,27.0,30.0,24.0,28.0,3,큰 추진력을 가진 짧은 다리의 목양견; 여전히 일하는 것을 좋아하는 다정한 가족 동반자.,"경계심이 강한, 충성스러운, 외향적인, 활기 넘치는","빨간색, 검은 담비색, 엷은 황갈색, 검은색 및 황갈색, 종종 흰색 표시가 있음",소형,목양견,드로버와 목동,"더블, 미디엄",4.0,3.0,3.0,2.0,4.0,3.0,4.0
